Date,Total,Coal,Oil,NaturalGas,CityGas,Electricty,Heat,RenewableETC
1997/01,13929,1625,9531,,1124,1395,151,103
1997/02,11951,1450,7798,,1147,1321,135,99
1997/03,12706,1634,8553,,921,1384,106,109
1997/04,11599,1517,7679,,818,1399,73,113
1997/05,11031,1533,7370,,588,1378,46,116
1997/06,9928,1421,6489,,473,1416,24,105
1997/07,10664,1559,7111,,386,1479,16,112
1997/08,11242,1556,7640,,358,1574,10,105
1997/09,11135,1579,7527,,386,1513,28,102
1997/10,12705,1670,8800,,590,1451,67,128
1997/11,13128,1634,8887,,900,1481,103,124
1997/12,15351,1713,10651,,1232,1476,150,130
1998/01,11962,1508,7589,,1243,1359,149,115
1998/02,10849,1387,6630,,1261,1326,133,111
1998/03,12067,1597,7906,,993,1344,105,123
1998/04,10881,1544,6973,,812,1351,72,129
1998/05,10359,1493,6819,,526,1344,45,132
1998/06,9801,1449,6397,,453,1358,24,120
1998/07,9978,1466,6575,,402,1391,15,128
1998/08,9997,1483,6575,,381,1428,10,120
1998/09,10682,1478,7180,,398,1484,26,116
1998/10,10804,1441,7278,,502,1379,59,145
1998/10,11749,1540,7665,,888,1416,100,140
1998/10,13807,1607,9126,,1324,1460,145,146
1999/01,13466,1522,8751,,1427,1450,180,137
1999/02,12179,1313,7800,,1404,1379,152,132
1999/03,13219,1566,8723,,1206,1447,130,146
1999/04,11957,1526,7748,,978,1477,76,152
1999/05,10270,1544,6437,,626,1463,45,156
1999/06,10121,1512,6424,,498,1522,22,142
1999/07,11144,1557,7418,,420,1582,15,152
1999/08,11059,1527,7334,,406,1635,15,142
1999/09,11172,1493,7445,,430,1644,22,137
1999/10,11851,1591,7790,,640,1583,74,172
1999/11,12532,1555,8075,,1022,1597,118,166
1999/12,14059,1619,8984,,1456,1643,185,173
2000/01,14124,1526,8784,,1762,1689,203,161
2000/02,13547,1365,8410,,1817,1629,171,155
2000/03,13777,1658,8561,,1536,1704,146,172
2000/04,12153,1565,7548,,1133,1642,85,180
2000/05,12121,1706,7717,,819,1646,50,184
2000/06,11083,1622,7001,,574,1693,25,168
2000/07,10952,1705,6786,,486,1779,17,179
2000/08,11579,1657,7415,,473,1848,17,168
2000/09,11442,1520,7454,,537,1742,28,162
2000/10,11823,1755,7377,,716,1689,83,203
2000/11,13118,1888,8019,,1132,1752,133,195
2000/12,14240,1696,8768,,1577,1788,208,203
2001/01,15012,1634,9140,,1982,1832,238,187
2001/02,13253,1433,7683,,1956,1814,188,179
2001/03,13900,1729,8383,,1607,1821,162,199
2001/04,12156,1676,7163,,1223,1800,87,206
2001/05,11929,1673,7440,,805,1757,42,211
2001/06,11773,1780,7383,,583,1811,22,194
2001/06,10901,1757,6538,,545,1837,19,207
2001/06,11555,1715,7190,,512,1929,15,194
2001/06,12146,1631,7879,,519,1910,22,185
2001/06,11717,1775,7147,,686,1812,65,233
2001/06,13286,1745,8159,,1146,1871,139,226
2001/06,15475,1810,9512,,1728,1970,219,236
2002/01,15325,1836,8914,,2057,2094,225,199
2002/02,13698,1502,8019,,1863,1935,183,196
2002/03,14301,1755,8648,,1578,1964,150,207
2002/04,13072,1693,7860,,1235,1963,86,236
2002/05,12110,1813,7168,,912,1916,53,248
2002/06,11592,1754,7013,,668,1912,27,218
2002/07,11901,1845,7195,,632,1967,21,242
2002/08,12267,1739,7629,,597,2032,23,247
2002/09,12544,1703,7943,,633,1970,34,261
2002/10,13230,1873,8113,,889,1974,100,280
2002/11,14656,2005,8518,,1568,2091,189,285
2002/12,16181,1965,9616,,1937,2131,226,305
2003/01,16430,1986,9315,,2313,2272,297,248
2003/02,14478,1751,7991,,2136,2145,218,237
2003/03,14402,1871,8174,,1789,2115,192,262
2003/04,12870,1840,7180,,1384,2094,105,268
2003/05,12832,1876,7646,,982,2000,55,274
2003/06,12519,1733,7752,,729,2018,35,251
2003/07,12326,1930,7381,,683,2030,33,268
2003/08,12444,1808,7627,,638,2089,31,251
2003/09,12078,1776,7305,,669,2047,41,241
2003/10,13653,1988,8324,,896,2046,95,304
2003/11,14366,1911,8533,,1332,2140,153,297
2003/12,16153,1959,9443,,1918,2254,267,312
2004/01,15933,1846,8958,,2259,2301,272,297
2004/02,14890,1772,7894,,2390,2329,220,286
2004/03,15116,1830,8555,,1958,2266,189,318
2004/04,13373,1731,7541,,1464,2203,105,330
2004/05,13040,1848,7623,,1050,2115,65,339
2004/06,12609,1763,7530,,813,2161,32,311
2004/07,12409,1893,7222,,732,2200,32,331
2004/08,12911,1776,7768,,689,2343,23,310
2004/09,12567,1722,7612,,696,2205,35,297
2004/10,13564,2026,8035,,913,2130,87,373
2004/11,13956,1854,8000,,1344,2247,150,360
2004/12,16084,2041,9205,,1884,2340,239,376
2005/01,16487,1896,8932,,2536,2515,300,308
2005/02,14754,1631,7711,,2490,2365,265,293
2005/03,15977,1843,8936,,2242,2411,224,321
2005/04,13977,1643,7894,,1650,2354,115,322
2005/05,13081,1863,7500,,1101,2229,61,328
2005/06,12965,1672,7780,,853,2306,32,301
2005/07,12502,1731,7282,,761,2354,28,320
2005/08,13329,1880,7937,,710,2446,25,300
2005/09,13281,2072,7731,,729,2349,33,288
2005/10,13274,2008,7536,,942,2250,91,366
2005/11,14785,1965,8393,,1452,2380,161,365
2005/12,17131,1951,9446,,2345,2629,317,385
2006/01,16926,1867,8818,,2835,2737,285,322
2006/02,15120,1693,7774,,2451,2578,247,306
2006/03,15595,1781,8492,,2172,2517,211,336
2006/04,14080,1704,7697,,1660,2479,129,339
2006/05,13810,1915,7928,,1153,2352,58,346
2006/06,13298,1890,7728,,896,2375,36,318
2006/07,12656,1681,7324,,826,2408,35,336
2006/08,13747,1887,8078,,812,2568,26,316
2006/09,13500,1996,7774,,811,2531,35,304
2006/10,13615,1978,7997,,891,2263,60,385
2006/11,15272,2050,8597,,1532,2487,163,382
2006/12,17255,2020,9457,,2341,2696,263,402
2007/01,17179,1991,9027,,2683,2799,282,351
2007/02,15742,1917,8163,,2396,2674,218,334
2007/03,15889,1919,8592,,2160,2592,209,368
2007/04,15265,1977,8321,,1811,2612,132,373
2007/05,14376,2003,8187,,1210,2497,62,381
2007/06,13642,1889,7867,,948,2512,35,350
2007/07,13967,2093,8005,,860,2567,33,371
2007/08,13958,1961,8017,,838,2724,28,348
2007/09,13820,1838,8118,,820,2639,38,334
2007/10,14820,2132,8530,,1094,2511,85,423
2007/11,16036,2180,8797,,1718,2690,184,418
